C1	15.87	25.94	0.00	100nf	C0805
C10	15.87	23.02	180.00	1uf	C0805
C11	30.50	18.70	180.00	4.7uf	C1206K
C9	31.75	24.13	270.00	1uf	C0805
R10	25.40	44.45	270.00	330	M0805
R11	9.84	22.54	180.00	330	M0805
R12	43.71	35.88	0.00	330	M0805
R13	43.71	39.37	0.00	330	M0805
R14	28.89	44.45	270.00	330	M0805
R15	9.84	19.06	180.00	330	M0805
R16	9.84	26.02	0.00	1k	M0805
R3	12.25	10.91	90.00	10k	M0805
R7	24.91	10.92	90.00	10k	M0805
R8	43.71	10.47	0.00	330	M0805
R9	43.71	13.97	0.00	330	M0805
